OBJECTID_1,POINT_X,POINT_Y,OM,Nitrate_N,Eca_deep,Eca_shallow,Bare_SAVI,Bare_NDVI,DEM
1,-104.999231,40.666937,1.15009,6.88318,40.4934,14.12606,0.109159,0.152498,1563
2,-104.999113,40.666937,1.14643,7.31058,40.20523,14.19035,0.110408,0.15282,1563
3,-104.998994,40.666937,1.17351,8.36935,40.31286,14.35168,0.108471,0.149573,1563
4,-104.998876,40.666937,1.20639,8.92212,40.76082,14.65957,0.112796,0.156439,1563
5,-104.998758,40.666937,1.25939,9.57739,41.49097,14.84465,0.109234,0.153201,1563
6,-104.998639,40.666937,1.33714,10.7763,43.09518,15.53682,0.113005,0.15897,1563
7,-104.998521,40.666937,1.38027,11.6202,44.13228,16.11374,0.122189,0.173442,1563
8,-104.998403,40.666937,1.40615,12.3756,44.83422,16.59348,0.123003,0.175399,1563
9,-104.998284,40.666937,1.44857,12.8816,44.93612,16.95205,0.127097,0.180625,1563
10,-104.998166,40.666937,1.48222,13.2122,45.5118,17.3724,0.125506,0.17888,1562
11,-104.998048,40.666937,1.50843,13.6877,46.04285,17.70329,0.124204,0.176471,1562
12,-104.99793,40.666937,1.52306,13.9007,46.05165,17.75408,0.133752,0.190541,1562
13,-104.997811,40.666937,1.51749,14.0942,45.64236,17.50761,0.135026,0.19287,1562
14,-104.997693,40.666937,1.49343,14.0976,45.25122,17.17996,0.134266,0.192114,1562
15,-104.997575,40.666937,1.49042,13.8203,45.2073,17.0124,0.139513,0.199816,1563
16,-104.997456,40.666937,1.49572,13.9946,44.47738,16.45573,0.140976,0.202211,1563
17,-104.997338,40.666937,1.50247,14.2316,43.20534,15.73118,0.1339,0.193113,1562
18,-104.99722,40.666937,1.53412,14.3945,42.60617,15.48285,0.145559,0.211095,1562
19,-104.997101,40.666937,1.58438,14.6807,42.08241,15.14619,0.156026,0.227553,1562
20,-104.996983,40.666937,1.6469,15.1285,42.05458,15.25033,0.151148,0.222169,1562
21,-104.999349,40.666847,1.14725,6.31657,40.60334,14.05135,0.080105,0.112088,1564
22,-104.999231,40.666847,1.12127,6.54019,40.24008,14.06152,0.067738,0.095091,1563
23,-104.999113,40.666847,1.1042,6.94723,40.24393,14.05575,0.065217,0.091552,1563
24,-104.998994,40.666847,1.11182,7.48212,40.43618,14.19811,0.069395,0.097058,1563
25,-104.998876,40.666847,1.15792,8.31656,40.59523,14.44229,0.074276,0.104148,1563
26,-104.998758,40.666847,1.21562,9.10504,40.93486,14.65283,0.073209,0.103448,1563
27,-104.998639,40.666847,1.28824,9.99311,42.22336,15.23402,0.073959,0.105721,1563
28,-104.998521,40.666847,1.32581,10.9503,43.05741,15.7174,0.072847,0.105485,1563
29,-104.998403,40.666847,1.35343,11.6615,43.46642,16.03638,0.078193,0.114068,1563
30,-104.998285,40.666847,1.43202,12.3125,43.82468,16.35124,0.080834,0.117983,1563
31,-104.998166,40.666847,1.47389,12.5872,44.47157,16.90357,0.083763,0.120594,1562
32,-104.998048,40.666847,1.5003,12.9458,44.83564,17.1695,0.080673,0.115828,1562
33,-104.99793,40.666847,1.49961,13.3833,44.90934,17.20768,0.08328,0.11963,1562
34,-104.997811,40.666847,1.47737,13.3659,44.73235,17.06423,0.079355,0.114419,1562
35,-104.997693,40.666847,1.41782,13.2882,44.3512,16.6399,0.077413,0.112154,1562
36,-104.997575,40.666847,1.44357,13.2996,44.41428,16.55125,0.083912,0.122159,1563
37,-104.997456,40.666847,1.4488,13.3523,43.78284,16.08419,0.08045,0.116761,1563
38,-104.997338,40.666847,1.44647,13.7304,43.25404,15.80594,0.07881,0.11491,1562
39,-104.99722,40.666847,1.49426,14.1134,42.86211,15.82287,0.082822,0.122093,1562
40,-104.997101,40.666847,1.55747,14.1418,42.75082,15.58427,0.082011,0.121807,1562
41,-104.996983,40.666847,1.63558,15.3349,42.9894,15.8466,0.082498,0.124058,1562
42,-104.996865,40.666847,1.66906,15.9217,43.39543,16.29151,0.089258,0.134373,1562
43,-104.999349,40.666757,1.13144,6.00575,40.46761,14.17389,0.067688,0.096451,1564
44,-104.999231,40.666757,1.09322,6.23637,40.15392,14.04085,0.066204,0.093003,1563
45,-104.999113,40.666757,1.05258,6.7115,40.10108,14.09119,0.063487,0.089373,1563
46,-104.998994,40.666757,1.04748,7.04753,40.26835,14.23374,0.067494,0.094858,1563
47,-104.998876,40.666757,1.10727,7.85485,40.43838,14.44779,0.071911,0.101566,1563
48,-104.998758,40.666757,1.18111,8.59271,40.79532,14.56201,0.074568,0.106539,1563
49,-104.998639,40.666757,1.25516,9.44693,41.81851,15.17103,0.08038,0.116541,1563
50,-104.998521,40.666757,1.30904,10.1464,42.52193,15.53503,0.079051,0.116257,1563
51,-104.998403,40.666757,1.36096,10.8941,43.08187,15.87039,0.077394,0.11379,1562
52,-104.998285,40.666757,1.43246,11.6092,43.58426,16.25192,0.080433,0.118415,1562
53,-104.998166,40.666757,1.47335,12.2497,43.49477,16.41422,0.078196,0.113519,1561
54,-104.998048,40.666757,1.49209,12.5313,43.65972,16.65863,0.076435,0.110181,1561
55,-104.99793,40.666757,1.48564,12.7643,43.7716,16.70209,0.078574,0.113068,1561
56,-104.997811,40.666757,1.45671,12.9876,43.82928,16.59155,0.079794,0.114709,1561
57,-104.997693,40.666757,1.41804,12.3212,44.17605,16.55402,0.078373,0.112442,1561
58,-104.997575,40.666757,1.40862,12.6389,43.89786,16.46276,0.077692,0.111937,1562
59,-104.997456,40.666757,1.40888,12.8516,43.94935,16.34062,0.083243,0.120601,1562
60,-104.997338,40.666757,1.4073,13.111,43.64905,16.26949,0.082375,0.120076,1562
61,-104.99722,40.666757,1.4551,13.668,43.45951,16.24913,0.080258,0.117845,1562
62,-104.997101,40.666757,1.51851,14.3273,43.44208,15.99097,0.079398,0.117389,1562
