OBJECTID_1,POINT_X,POINT_Y,NDVI_0607,NDVI_0707,NDVI_0809,SAVI_0607,SAVI_0707,SAVI_0809,Crop,Crop_ID
1,-104.999231,40.666937,0.18822,0.208043,0.348837,0.136589,0.154041,0.254368,Drybeans,0
2,-104.999113,40.666937,0.182401,0.221181,0.393782,0.132307,0.164379,0.284053,Drybeans,0
3,-104.998994,40.666937,0.182668,0.226754,0.403219,0.13288,0.168417,0.289748,Drybeans,0
4,-104.998876,40.666937,0.190335,0.24876,0.388628,0.138609,0.183537,0.281773,Drybeans,0
5,-104.998758,40.666937,0.204872,0.272879,0.403997,0.147218,0.200184,0.290504,Drybeans,0
6,-104.998639,40.666937,0.222661,0.29392,0.447628,0.1592,0.215251,0.316857,Drybeans,0
7,-104.998521,40.666937,0.216894,0.298986,0.524862,0.154934,0.218159,0.36601,Drybeans,0
8,-104.998403,40.666937,0.206709,0.294773,0.53583,0.145346,0.213488,0.372829,Drybeans,0
9,-104.998284,40.666937,0.209177,0.291541,0.537966,0.147682,0.210913,0.375241,Drybeans,0
10,-104.998166,40.666937,0.218834,0.298456,0.534057,0.154757,0.21606,0.371825,Drybeans,0
11,-104.998048,40.666937,0.233137,0.302768,0.537966,0.164048,0.218204,0.375241,Drybeans,0
12,-104.99793,40.666937,0.243682,0.299352,0.556732,0.171756,0.215888,0.388283,Drybeans,0
13,-104.997811,40.666937,0.23139,0.299445,0.55262,0.163636,0.217207,0.38754,Drybeans,0
14,-104.997693,40.666937,0.216606,0.310903,0.524329,0.152672,0.225866,0.368057,Drybeans,0
15,-104.997575,40.666937,0.21978,0.300471,0.5369,0.153715,0.217567,0.374036,Drybeans,0
16,-104.997456,40.666937,0.235049,0.31299,0.540802,0.163303,0.224656,0.376847,Drybeans,0
17,-104.997338,40.666937,0.250704,0.320175,0.521399,0.173002,0.229079,0.363685,Drybeans,0
18,-104.99722,40.666937,0.251301,0.295936,0.510541,0.172664,0.210957,0.356899,Drybeans,0
