OBJECTID_1,POINT_X,POINT_Y,Bare_SAVI,Bare_NDVI,BARE_GNDVI,Bare_OSAVI
1,-104.999231,40.666937,0.109159,0.152498,0.261996,0.13098
2,-104.999113,40.666937,0.110408,0.15282,0.260829,0.13186
3,-104.998994,40.666937,0.108471,0.149573,0.262911,0.129299
4,-104.998876,40.666937,0.112796,0.156439,0.266446,0.134849
5,-104.998758,40.666937,0.109234,0.153201,0.264279,0.131328
6,-104.998639,40.666937,0.113005,0.15897,0.275037,0.136068
7,-104.998521,40.666937,0.122189,0.173442,0.285502,0.14779
8,-104.998403,40.666937,0.123003,0.175399,0.295831,0.149115
9,-104.998284,40.666937,0.127097,0.180625,0.294293,0.153819
10,-104.998166,40.666937,0.125506,0.17888,0.284085,0.152112
11,-104.998048,40.666937,0.124204,0.176471,0.294176,0.150299
12,-104.99793,40.666937,0.133752,0.190541,0.301193,0.162067
13,-104.997811,40.666937,0.135026,0.19287,0.302395,0.163829
14,-104.997693,40.666937,0.134266,0.192114,0.30065,0.163046
15,-104.997575,40.666937,0.139513,0.199816,0.307962,0.169499
16,-104.997456,40.666937,0.140976,0.202211,0.318182,0.171404
17,-104.997338,40.666937,0.1339,0.193113,0.314198,0.163242
18,-104.99722,40.666937,0.145559,0.211095,0.330579,0.177943
19,-104.997101,40.666937,0.156026,0.227553,0.343734,0.19127
20,-104.996983,40.666937,0.151148,0.222169,0.336143,0.186003
21,-104.999349,40.666847,0.080105,0.112088,0.228752,0.096195
22,-104.999231,40.666847,0.067738,0.095091,0.21611,0.081477
23,-104.999113,40.666847,0.065217,0.091552,0.213373,0.078445
24,-104.998994,40.666847,0.069395,0.097058,0.228122,0.083315
25,-104.998876,40.666847,0.074276,0.104148,0.22467,0.089289
26,-104.998758,40.666847,0.073209,0.103448,0.224044,0.088348
27,-104.998639,40.666847,0.073959,0.105721,0.228891,0.089769
28,-104.998521,40.666847,0.072847,0.105485,0.231332,0.088987
29,-104.998403,40.666847,0.078193,0.114068,0.245484,0.095868
30,-104.998285,40.666847,0.080834,0.117983,0.245363,0.099132
31,-104.998166,40.666847,0.083763,0.120594,0.244719,0.10203
32,-104.998048,40.666847,0.080673,0.115828,0.245108,0.098133
33,-104.99793,40.666847,0.08328,0.11963,0.238631,0.101329
34,-104.997811,40.666847,0.079355,0.114419,0.239524,0.096732
35,-104.997693,40.666847,0.077413,0.112154,0.244748,0.094589
36,-104.997575,40.666847,0.083912,0.122159,0.242138,0.102775
37,-104.997456,40.666847,0.08045,0.116761,0.249737,0.098386
38,-104.997338,40.666847,0.07881,0.11491,0.255615,0.0966
39,-104.99722,40.666847,0.082822,0.122093,0.257329,0.102067
40,-104.997101,40.666847,0.082011,0.121807,0.263973,0.101439
41,-104.996983,40.666847,0.082498,0.124058,0.268707,0.102659
42,-104.996865,40.666847,0.089258,0.134373,0.269144,0.11113
43,-104.999349,40.666757,0.067688,0.096451,0.21533,0.082028
44,-104.999231,40.666757,0.066204,0.093003,0.211586,0.07966
45,-104.999113,40.666757,0.063487,0.089373,0.207491,0.076471
46,-104.998994,40.666757,0.067494,0.094858,0.223378,0.08123
47,-104.998876,40.666757,0.071911,0.101566,0.217004,0.086761
48,-104.998758,40.666757,0.074568,0.106539,0.22284,0.090485
49,-104.998639,40.666757,0.08038,0.116541,0.245283,0.098251
50,-104.998521,40.666757,0.079051,0.116257,0.248112,0.097306
51,-104.998403,40.666757,0.077394,0.11379,0.253391,0.095254
52,-104.998285,40.666757,0.080433,0.118415,0.244755,0.099059
53,-104.998166,40.666757,0.078196,0.113519,0.237696,0.095641
54,-104.998048,40.666757,0.076435,0.110181,0.244398,0.093162
55,-104.99793,40.666757,0.078574,0.113068,0.247144,0.095686
56,-104.997811,40.666757,0.079794,0.114709,0.242268,0.097124
57,-104.997693,40.666757,0.078373,0.112442,0.247545,0.0953
58,-104.997575,40.666757,0.077692,0.111937,0.240415,0.09467
59,-104.997456,40.666757,0.083243,0.120601,0.250917,0.101713
60,-104.997338,40.666757,0.082375,0.120076,0.254652,0.100956
61,-104.99722,40.666757,0.080258,0.117845,0.251481,0.098715
62,-104.997101,40.666757,0.079398,0.117389,0.261132,0.097988
63,-104.996983,40.666757,0.081045,0.121032,0.264689,0.100511
64,-104.996865,40.666757,0.087725,0.131698,0.266816,0.109074
65,-104.996746,40.666757,0.088829,0.134831,0.271895,0.111037
66,-104.999468,40.666667,0.08159,0.114035,0.215311,0.097922
67,-104.999349,40.666667,0.071031,0.101984,0.224615,0.086404
68,-104.999231,40.666667,0.067545,0.096014,0.213033,0.081755
69,-104.999113,40.666667,0.060738,0.086152,0.210659,0.073437
70,-104.998994,40.666667,0.068457,0.097241,0.214214,0.08283
71,-104.998876,40.666667,0.070064,0.099548,0.219267,0.084784
72,-104.998758,40.666667,0.071673,0.102907,0.225641,0.087186
73,-104.998639,40.666667,0.079773,0.116858,0.246392,0.098006
74,-104.998521,40.666667,0.079087,0.118173,0.251111,0.098109
75,-104.998403,40.666667,0.074733,0.112224,0.257078,0.092933
76,-104.998285,40.666667,0.078423,0.11718,0.25139,0.097285
77,-104.998166,40.666667,0.072777,0.107543,0.24168,0.089793
78,-104.998048,40.666667,0.077744,0.113767,0.24866,0.095463
79,-104.99793,40.666667,0.074708,0.108593,0.241671,0.091432
80,-104.997811,40.666667,0.074418,0.107678,0.236155,0.090872
81,-104.997693,40.666667,0.079186,0.114433,0.249869,0.096634
82,-104.997575,40.666667,0.076227,0.110075,0.244119,0.092989
83,-104.997456,40.666667,0.073345,0.106503,0.244303,0.089719
84,-104.997338,40.666667,0.075244,0.109739,0.247197,0.092241
85,-104.99722,40.666667,0.073394,0.107796,0.247021,0.090285
86,-104.997101,40.666667,0.076204,0.112848,0.254405,0.09412
87,-104.996983,40.666667,0.08,0.12,0.261972,0.099429
88,-104.996865,40.666667,0.077748,0.117409,0.250283,0.096945
89,-104.996746,40.666667,0.075287,0.114771,0.252747,0.094306
90,-104.996628,40.666667,0.075627,0.115965,0.263096,0.094998
91,-104.999586,40.666577,0.065654,0.091868,0.208759,0.078842
92,-104.999468,40.666577,0.07063,0.101813,0.214139,0.086086
93,-104.999349,40.666577,0.067655,0.097403,0.208993,0.082409
94,-104.999231,40.666577,0.06661,0.095238,0.206862,0.080858
95,-104.999113,40.666577,0.060587,0.086207,0.210926,0.073369
96,-104.998994,40.666577,0.067365,0.096507,0.210553,0.081855
97,-104.998876,40.666577,0.06824,0.098148,0.206511,0.083081
98,-104.998758,40.666577,0.067135,0.097412,0.217119,0.082092
99,-104.998639,40.666577,0.073642,0.108017,0.235546,0.090531
100,-104.998521,40.666577,0.081698,0.121376,0.253158,0.101065
101,-104.998403,40.666577,0.080955,0.121976,0.254085,0.100833
102,-104.998285,40.666577,0.08172,0.124614,0.258065,0.102378
103,-104.998166,40.666577,0.081562,0.123413,0.261117,0.101798
104,-104.998048,40.666577,0.078878,0.11687,0.257017,0.097448
105,-104.99793,40.666577,0.077535,0.113669,0.245708,0.095293
106,-104.997811,40.666577,0.071802,0.104962,0.234542,0.088122
107,-104.997693,40.666577,0.074935,0.109316,0.238196,0.091873
108,-104.997575,40.666577,0.070871,0.103122,0.237135,0.086781
109,-104.997456,40.666577,0.075929,0.110794,0.239257,0.093104
110,-104.997338,40.666577,0.07531,0.109948,0.244397,0.092368
111,-104.99722,40.666577,0.071148,0.104578,0.240931,0.087555
112,-104.997101,40.666577,0.075511,0.111762,0.245489,0.09324
113,-104.996983,40.666577,0.078807,0.117852,0.247503,0.097801
114,-104.996865,40.666577,0.076339,0.115152,0.253121,0.095137
115,-104.996746,40.666577,0.07275,0.111226,0.25614,0.091255
116,-104.996628,40.666577,0.07619,0.117277,0.258997,0.095882
117,-104.99651,40.666577,0.079127,0.122234,0.255156,0.099748
118,-104.999586,40.666487,0.063562,0.091671,0.209902,0.077491
119,-104.999468,40.666487,0.06429,0.09286,0.209086,0.078437
120,-104.999349,40.666487,0.064235,0.092687,0.209278,0.078331
121,-104.999231,40.666487,0.058918,0.084761,0.204113,0.07174
122,-104.999113,40.666487,0.061697,0.088561,0.207161,0.07504
123,-104.998994,40.666487,0.067394,0.096596,0.2077,0.08191
124,-104.998876,40.666487,0.065301,0.093851,0.208993,0.079474
125,-104.998758,40.666487,0.064169,0.093587,0.219926,0.078664
126,-104.998639,40.666487,0.074951,0.109938,0.245019,0.09214
127,-104.998521,40.666487,0.079363,0.117275,0.251226,0.097919
128,-104.998403,40.666487,0.081601,0.121662,0.250276,0.10112
129,-104.998285,40.666487,0.07937,0.119757,0.259807,0.098928
130,-104.998166,40.666487,0.08415,0.126506,0.265651,0.104699
131,-104.998048,40.666487,0.072829,0.109548,0.248163,0.090638
132,-104.99793,40.666487,0.077279,0.114594,0.249863,0.09551
133,-104.997811,40.666487,0.07587,0.111756,0.241491,0.093464
134,-104.997693,40.666487,0.073717,0.108844,0.233514,0.090917
135,-104.997575,40.666487,0.072803,0.10704,0.239072,0.089603
136,-104.997456,40.666487,0.075279,0.111003,0.239589,0.092784
137,-104.997338,40.666487,0.070866,0.104247,0.234754,0.087242
138,-104.99722,40.666487,0.073997,0.10917,0.231018,0.091227
139,-104.997101,40.666487,0.072122,0.107178,0.237363,0.089231
140,-104.996983,40.666487,0.07365,0.110445,0.247614,0.091524
141,-104.996865,40.666487,0.070723,0.107472,0.245826,0.088453
142,-104.996746,40.666487,0.07078,0.109015,0.248378,0.089099
143,-104.996628,40.666487,0.076687,0.118359,0.257244,0.096631
144,-104.99651,40.666487,0.077221,0.119577,0.255042,0.097457
145,-104.999704,40.666397,0.06075,0.087768,0.20538,0.074126
146,-104.999586,40.666397,0.064736,0.094268,0.210058,0.079299
147,-104.999468,40.666397,0.058849,0.086207,0.210245,0.072299
148,-104.999349,40.666397,0.066377,0.096682,0.217254,0.08132
149,-104.999231,40.666397,0.061617,0.089957,0.203996,0.075574
150,-104.999113,40.666397,0.066091,0.095775,0.217527,0.080765
151,-104.998994,40.666397,0.067754,0.09826,0.219207,0.082829
152,-104.998876,40.666397,0.069351,0.101092,0.218487,0.084995
153,-104.998758,40.666397,0.073058,0.107872,0.231102,0.090105
154,-104.998639,40.666397,0.075966,0.113886,0.247204,0.09439
155,-104.998521,40.666397,0.07671,0.114527,0.25167,0.095122
156,-104.998403,40.666397,0.079713,0.118428,0.251925,0.09861
157,-104.998285,40.666397,0.081395,0.121588,0.257652,0.100959
158,-104.998166,40.666397,0.07688,0.115097,0.25308,0.095461
159,-104.998048,40.666397,0.081287,0.121227,0.255402,0.100744
160,-104.99793,40.666397,0.078598,0.117153,0.246553,0.097386
161,-104.997811,40.666397,0.076294,0.113749,0.239406,0.094543
162,-104.997693,40.666397,0.076889,0.114511,0.25097,0.09523
163,-104.997575,40.666397,0.071334,0.106383,0.240155,0.088408
164,-104.997456,40.666397,0.074454,0.110674,0.247514,0.092128
165,-104.997338,40.666397,0.07165,0.106825,0.236464,0.088788
166,-104.99722,40.666397,0.070798,0.105211,0.231106,0.087594
167,-104.997101,40.666397,0.072777,0.107543,0.24168,0.089793
168,-104.996983,40.666397,0.078947,0.117705,0.248619,0.097831
169,-104.996865,40.666397,0.076294,0.115639,0.248575,0.095302
170,-104.996746,40.666397,0.07619,0.117277,0.248683,0.095882
171,-104.996628,40.666397,0.081136,0.125263,0.258387,0.102252
172,-104.99651,40.666397,0.08122,0.126265,0.258333,0.102697
173,-104.996392,40.666397,0.08123,0.127018,0.256149,0.102995
174,-104.999704,40.666307,0.060494,0.088068,0.205666,0.074093
175,-104.999586,40.666307,0.068627,0.100478,0.215645,0.084291
176,-104.999468,40.666307,0.059241,0.086894,0.208111,0.072827
177,-104.999349,40.666307,0.066325,0.097083,0.209916,0.081453
178,-104.999231,40.666307,0.06339,0.093372,0.20085,0.078089
179,-104.999113,40.666307,0.064647,0.095123,0.214783,0.079596
180,-104.998994,40.666307,0.074426,0.109398,0.234316,0.09159
181,-104.998876,40.666307,0.075463,0.112205,0.232951,0.09339
