PH,OM,Nitrate_N,Olsen_P,K,Ca,Mg,Sand,Silt,Clay
8.16776,1.15009,6.88318,6.86953,205.586,4854.23,597.541,47.9392,19.2798,33.0182
8.165,1.14643,7.31058,7.1569,205.965,4881,593.286,48.0056,19.3037,32.9836
8.14588,1.17351,8.36935,7.67319,206.672,4894.07,590.77,48.2484,18.9421,33.1589
8.14352,1.20639,8.92212,7.83998,213.062,4875.77,590.337,48.2449,18.8502,33.3486
8.13997,1.25939,9.57739,8.80722,215.91,4883.96,590.333,48.0932,18.8358,33.4074
8.135,1.33714,10.7763,9.29141,219.447,4953.85,594.457,48.0438,18.7761,33.4619
8.13185,1.38027,11.6202,9.89279,224.844,5007.1,601.17,48.0375,18.5907,33.6166
8.12871,1.40615,12.3756,10.3109,226.047,5036.4,608.454,48.1097,18.3646,33.6932
8.1294,1.44857,12.8816,10.5846,230.445,5054.68,614.532,48.0291,18.2102,33.7373
8.12786,1.48222,13.2122,11.0779,234.222,5078.51,618.339,48.2256,17.8089,33.7687
8.12391,1.50843,13.6877,11.2428,236.191,5093.96,618.874,48.4658,17.4519,33.9983
8.12504,1.52306,13.9007,11.2977,237.069,5079.5,617.555,48.7539,17.1212,34.1636
8.12154,1.51749,14.0942,11.327,242.624,5057.36,614.626,49.1847,16.6807,34.1727
8.1156,1.49343,14.0976,11.143,239.399,5021.31,612.247,49.653,16.1939,34.1367
8.11858,1.49042,13.8203,10.583,243.231,5035.84,611.769,50.2811,15.4822,34.2356
8.12118,1.49572,13.9946,10.5269,241.118,5028.39,612.196,50.6885,15.2592,34.0912
8.11376,1.50247,14.2316,10.4665,250.862,5032.22,613.906,51.2338,14.9979,33.9648
8.09068,1.53412,14.3945,10.192,253.372,5033.79,619.181,51.5897,14.8776,33.8043
8.0735,1.58438,14.6807,9.45937,254.267,4988.47,627.544,51.8366,14.7025,33.8782
8.06167,1.6469,15.1285,9.28575,257.929,4965.01,635.462,51.9894,14.6208,33.585
8.17733,1.14725,6.31657,5.73965,199.273,4884.42,604.73,48.0943,19.1554,32.5702
8.16955,1.12127,6.54019,6.55145,204.892,4855.55,598.097,48.0996,19.0318,33.0815
8.16684,1.1042,6.94723,6.81906,205.327,4854.65,596.524,48.1962,19.0323,33.0474
8.15135,1.11182,7.48212,7.07704,206.131,4907.25,590.597,48.2648,19.0374,32.9246
8.14698,1.15792,8.31656,7.28372,211.024,4890.63,587.614,48.2535,18.681,33.423
8.13862,1.21562,9.10504,8.20018,215.221,4910.66,588.071,48.1923,18.6963,33.3997
8.13632,1.28824,9.99311,8.75857,218.044,4973.43,594.093,48.0966,18.6429,33.5128
8.12996,1.32581,10.9503,9.35415,227.103,5035.64,602.208,48.1899,18.3486,33.628
8.1238,1.35343,11.6615,9.795,228.192,5092.73,611.737,48.1599,18.2253,33.7474
8.12027,1.43202,12.3125,10.1733,232.196,5105.7,620.349,48.0826,18.0591,33.7693
8.12057,1.47389,12.5872,10.5866,235.505,5111.18,625.887,48.1345,17.7941,33.9778
8.11898,1.5003,12.9458,10.7356,236.895,5158.99,626.57,48.355,17.4426,34.1417
8.12024,1.49961,13.3833,10.886,237.934,5120.03,623.34,48.6339,17.0804,34.2505
8.11841,1.47737,13.3659,10.8915,242.879,5071.65,618.296,48.9786,16.7319,34.2713
8.11249,1.41782,13.2882,10.8144,240.967,4969.09,616.922,49.5353,16.1923,34.1121
8.11521,1.44357,13.2996,10.2033,243.848,5048.49,612.471,50.058,15.633,34.266
8.11274,1.4488,13.3523,10.0836,243.225,5061.39,612.035,50.46,15.417,34.1586
8.10916,1.44647,13.7304,10.2093,250.098,5068.76,614.526,51.0761,15.1491,33.9943
8.09268,1.49426,14.1134,9.89281,253.078,5054.84,619.457,51.4191,15.0101,33.8176
8.07736,1.55747,14.1418,9.19909,252.695,5025.94,626.599,51.6774,14.8141,33.9248
8.05157,1.63558,15.3349,9.5731,261.243,4978.9,635.447,51.9016,14.7284,33.8142
8.04295,1.66906,15.9217,9.34915,264.958,4992.71,645.452,52.1157,14.5183,33.5683
8.16783,1.13144,6.00575,5.44959,199.026,4884.46,607.284,48.2908,18.8941,32.5965
8.17138,1.09322,6.23637,5.53628,199.021,4859.06,602.32,48.3798,18.9693,32.5092
8.16512,1.05258,6.7115,6.38676,205.999,4870.78,597.352,48.4986,18.739,32.9043
8.15591,1.04748,7.04753,6.59307,206.868,4892.58,591.328,48.5461,18.6834,32.7435
8.14824,1.10727,7.85485,7.20395,213.7,4889.3,587.771,48.402,18.5562,33.2186
8.14187,1.18111,8.59271,7.64272,215.423,4928.73,589.255,48.2644,18.5882,33.4153
8.13611,1.25516,9.44693,8.20116,219.175,4993.1,597.076,48.3457,18.3822,33.5018
8.12839,1.30904,10.1464,8.62839,224.297,5048.9,607.753,48.3021,18.266,33.6571
8.11719,1.36096,10.8941,9.08552,228.684,5114.88,619.707,48.2252,18.1291,33.7057
8.11052,1.43246,11.6092,9.59476,234.146,5146.89,629.521,48.1197,17.9419,33.7276
8.1068,1.47335,12.2497,9.91189,236.803,5163.24,635.305,48.013,17.8029,34.098
8.11086,1.49209,12.5313,10.2472,238.305,5179.34,635.499,48.2848,17.3311,34.2432
8.1137,1.48564,12.7643,10.3418,238.787,5153.35,630.139,48.5233,17.0225,34.3503
8.1127,1.45671,12.9876,10.3346,241.941,5110.15,621.909,48.7978,16.7198,34.4472
8.11216,1.41804,12.3212,10.0101,243.856,5069.79,618.787,49.3524,16.104,34.4721
8.1065,1.40862,12.6389,9.74199,243.374,5095.43,611.16,49.8343,15.7772,34.2914
8.10886,1.40888,12.8516,9.58498,241.647,5095.78,608.067,50.2282,15.5681,34.2113
8.10167,1.4073,13.111,9.40703,247.83,5096.44,608.207,50.6431,15.408,33.9292
8.09117,1.4551,13.668,9.0351,249.384,5074.55,613.755,51.1908,15.1316,33.9659
8.07094,1.51851,14.3273,9.25082,253.07,5057.29,621.455,51.5068,14.9503,33.9288
8.06625,1.58956,14.5289,9.13252,257.271,5032.47,630.599,51.7303,14.7715,33.977
8.04585,1.64479,15.9279,9.32013,263.539,5018.92,643.668,51.8137,14.7527,33.6568
8.04174,1.67387,16.7612,9.17185,267.42,5022.26,654.067,51.9235,14.7587,33.5299
8.15494,1.15014,4.66348,4.301,201.217,4865.62,603.931,49.7913,16.9624,32.8542
8.17378,1.10368,4.8248,4.12148,198.581,4863.09,605.99,49.146,17.5924,32.9523
8.16867,1.05905,5.35042,5.00392,201.933,4859.92,602.322,49.2546,17.4523,33.1664
8.16449,0.983294,5.58839,5.01179,202.612,4893.81,597.818,49.4777,17.3263,33.0953
8.15953,0.961205,6.70161,6.38618,214.667,4886.37,592.531,48.634,18.4905,32.9051
8.15165,1.07011,7.39111,6.85945,215.795,4894.36,589.573,48.4944,18.6341,32.8842
8.14653,1.15971,8.15637,7.18201,217.856,4947.6,593.176,48.3751,18.4469,33.3469
8.14032,1.24038,9.002,7.79317,222.287,4959.43,602.434,48.4953,18.2211,33.4747
8.12775,1.31736,9.71941,8.13816,225.683,5047.82,615.303,48.4287,18.1049,33.7095
8.10996,1.38768,10.5736,8.60894,231.006,5127.97,628.576,48.3743,17.8959,33.6733
8.10618,1.45008,10.9442,8.89506,234.236,5186.76,640.71,48.2111,17.8248,33.7664
8.10139,1.48393,11.6441,9.43173,237.773,5198.38,645.279,48.1614,17.4971,33.9743
8.10604,1.49559,12.3855,9.51199,240.473,5210.02,641.764,48.14,17.3805,34.298
8.11219,1.48529,12.4769,9.76852,240.925,5180.83,634.797,48.4724,16.911,34.4296
8.11264,1.45131,12.3167,9.59018,243.174,5161.32,627.453,48.8992,16.2797,34.5791
8.10907,1.41097,12.5168,9.73096,242.199,5140.56,617.57,49.3249,16.0152,34.5332
8.10447,1.38424,12.3299,9.35931,242.806,5144.85,608.261,49.6885,15.8347,34.3237
8.1022,1.38208,12.2609,9.19211,244.584,5141.21,601.098,50.0381,15.7353,34.1018
8.09828,1.39542,12.81,9.24974,246.392,5114.5,600.342,50.4268,15.4992,34.0163
8.08798,1.42798,13.466,8.76162,249.28,5090.64,604.374,50.8189,15.2542,33.9668
8.07141,1.47886,13.7351,8.78426,251.229,5068.3,612.856,51.2893,15.0184,34.108
8.05569,1.55699,14.8598,9.0472,258.709,5058.54,624.035,51.525,14.8819,34.0531
8.05396,1.62798,15.5344,9.19298,261.809,5045.37,638.304,51.5506,14.9461,34.0352
8.04526,1.67087,16.5299,8.77188,265.759,5017.89,652.063,51.6624,14.962,33.5812
8.02998,1.69982,17.5397,8.698,270.5,4988.53,661.503,51.6804,15.025,33.4837
8.15707,1.16789,4.37579,4.25258,213.247,4951.9,612.958,49.7254,17.0113,33.0799
8.15921,1.15957,4.65706,4.23133,201.349,4899.37,606.61,49.8233,16.9856,32.8061
8.1767,1.12403,4.81764,4.03007,198.69,4866.82,607.775,49.1155,17.6853,32.9016
8.1718,1.07084,4.92369,4.04871,202.043,4887.75,604.932,49.6956,17.2508,32.6904
8.17028,0.990479,6.03158,5.38188,204.533,4884.94,602.298,49.093,18.18,32.5228
8.16007,0.932217,6.47051,5.59774,213.425,4886.97,596.252,48.8059,18.3314,32.8331
8.15262,1.06745,7.02829,6.25373,215.714,4907.41,595.282,48.6121,18.4863,32.9093
8.14867,1.15907,7.74328,6.75438,219.187,4935.32,599.155,48.6968,18.3997,32.9962
8.14237,1.22608,8.71451,7.04487,222.996,4892.98,612.297,48.5879,18.0889,33.545
8.124,1.34202,9.47179,7.55827,227.104,5037.65,626.348,48.5459,17.9338,33.754
